F7,FP1,FP2,F8,F3,FZ,F4,C3,Cz,P8,P7,Pz,P4,T7,P3,O1,O2,C4,T8,Speed
3.0855,3.1219,3.1328,2.0302,2.1287,2.7209,2.153,2.326,3.5143,1.859,1.8567,2.8362,2.059,2.3998,2.1155,1.6173,1.6643,1.69,2.3144,64.684
2.9084,2.6343,2.4911,1.9988,2.0188,2.6507,1.8564,2.0296,2.9321,1.7641,1.7323,2.7958,1.9429,2.5191,1.8352,1.5149,1.5957,1.5119,2.1281,74.552
2.7792,2.7325,2.8693,2.2218,2.1884,2.689,2.1293,2.0371,3.2697,1.8688,1.8032,3.062,2.0045,2.5785,1.7217,1.6365,1.7315,1.7435,2.1602,66.597
2.9105,2.8268,2.7112,2.5232,2.0501,2.7801,2.2349,2.0952,2.9739,1.9129,1.8726,2.7425,2.0122,2.4038,1.8146,1.6795,1.6871,1.714,2.3097,65.417
3.0477,3.044,2.9545,2.8438,2.1876,2.7636,2.3951,2.4862,3.3377,1.9893,1.9552,3.0116,2.0498,2.7351,1.9512,1.6199,1.6763,1.9914,2.4719,76.733
3.267,2.6775,2.9058,2.6096,1.8475,2.294,2.4544,1.9453,2.7399,2.0036,1.9595,2.3023,1.9417,1.6038,2.1683,2.251,2.125,4.5819,1.6953,68.989
2.6248,2.8819,3.545,2.5886,1.6566,2.1266,2.3909,1.8158,2.416,1.8098,1.7876,2.5369,1.798,1.599,1.931,1.9846,2.0153,4.1268,1.4381,79.368
2.3658,2.4426,3.0336,2.7529,1.6506,1.9636,2.4956,1.7547,2.7112,1.8744,1.9194,2.5791,1.9342,1.7587,1.9861,2.1868,2.0805,4.3968,1.6952,81.635
2.2157,2.6189,2.8975,2.9244,1.5607,1.9535,2.6122,1.9158,2.62,1.9815,1.9196,2.0818,2.0403,1.9674,2.0419,2.251,2.1704,4.0445,2.2626,81.465
2.1596,2.3484,2.7341,2.5464,1.4785,1.9437,2.4982,1.7952,2.5724,1.9528,2.0542,2.1778,1.8969,1.9254,1.8444,2.237,2.1759,4.1001,1.8905,85.051
3.1142,3.7604,3.8413,3.083,2.989,3.2886,3.4701,2.8184,2.8468,2.3853,2.3782,2.464,2.5632,2.288,3.2058,2.3225,2.2759,3.6432,2.0774,70.68
3.419,3.7307,3.8091,3.3012,3.6936,3.261,3.6758,3.0694,3.3022,2.5477,2.8048,2.8232,2.8423,2.6175,3.5209,2.5043,2.4716,3.3748,2.4324,71.582
3.84,4.1477,4.3795,3.98,3.8402,3.7321,3.8772,3.7186,3.6056,3.7361,3.4778,3.5273,3.6511,3.578,3.6328,3.2787,3.4966,3.786,3.2062,47.394
3.5616,3.6778,3.6643,3.5845,3.5494,3.1194,3.7881,3.2199,3.5168,2.9376,2.6198,3.2715,3.3829,2.9054,3.577,2.5732,2.5088,3.7209,2.4503,70.5
3.6741,3.7265,3.9099,3.5392,3.5146,3.3326,3.8121,3.1246,3.0181,2.8155,2.8566,2.7061,2.9527,2.7245,3.1738,2.3854,2.3059,3.549,2.0411,62.776
2.6284,1.7278,3.4616,2.6452,1.5743,1.7036,1.6856,2.0357,2.1845,2.0175,2.3551,3.0663,2.6417,1.9202,2.0178,2.329,2.3889,2.3057,0.984,81.33
2.1367,1.1151,1.9762,2.1337,1.5852,1.5882,1.7339,1.5393,2.179,1.5143,2.3699,2.6329,2.6356,1.5702,1.7081,2.0242,1.965,1.9963,0.91101,84.098
2.2495,0.99336,1.8758,2.0321,1.6566,1.709,1.8551,1.6446,2.1046,1.3726,2.4774,2.5968,2.6534,1.6979,1.6705,1.9395,1.8452,2.0207,0.85954,81.462
2.3895,1.317,2.3259,2.6429,1.5882,1.7788,1.9753,1.8452,2.4103,1.4611,2.8371,2.7961,2.5293,1.8372,1.9048,2.0148,2.1482,2.2057,0.87915,65.269
2.1191,0.94467,1.6067,1.9829,1.4663,1.6082,1.7518,1.6352,2.0539,1.5607,1.8694,2.3035,2.3288,1.8109,1.5667,1.7528,1.8057,1.9786,0.86532,83.12
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,                             ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,                           ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
