f,P
0,43.828
0.004,16.689
0.0079999,7.6659
0.012,10.797
0.016,12.627
0.02,5.8897
0.024,4.393
0.028,3.1938
0.032,3.8826
0.036,7.1617
0.04,29.27
0.044,41.627
0.048,52.911
0.051999,105.3
0.055999,64.756
0.059999,7.5102
0.063999,14.481
0.067999,19.777
0.071999,16.471
0.075999,7.618
0.079999,11.541
0.083999,7.8641
0.087999,5.2865
0.091999,10.665
0.095999,14.653
0.099999,10.832
0.104,7.4629
0.108,12.605
0.112,3.7897
0.116,3.4457
0.12,7.3433
0.124,5.6761
0.128,1.7399
0.132,4.5038
0.136,5.2094
0.14,4.1468
0.144,3.7295
0.148,1.7215
0.152,5.3416
0.156,2.3655
0.16,2.9785
0.164,3.0086
0.168,3.1248
0.172,4.9907
0.176,2.3363
0.18,3.6252
0.184,3.1553
0.188,3.0928
0.192,1.9005
0.196,1.5034
0.2,1.9265
0.204,3.212
0.208,3.154
0.212,1.6833
0.216,1.0257
0.22,2.9626
0.224,4.007
0.228,3.5379
0.232,3.2938
0.236,6.4214
0.24,4.4173
0.244,2.9631
0.248,1.3069
0.252,3.4977
0.256,1.7346
0.26,3.3632
0.264,1.0766
0.268,1.1756
0.272,1.6303
0.276,0.7209
0.28,0.72805
0.284,0.28942
0.288,0.82501
0.292,0.77091
0.296,0.63215
0.3,0.42489
0.304,0.87969
0.308,0.75127
0.312,1.343
0.316,0.19752
0.32,0.75261
0.324,1.1295
0.328,0.854
0.332,1.1066
0.336,0.89513
0.34,0.64995
0.344,0.91708
0.348,0.30574
0.352,0.52769
0.356,0.95707
0.36,0.73498
0.364,0.72922
0.368,0.39506
0.372,1.0859
0.376,0.37051
0.38,0.59937
0.384,0.1602
0.388,0.11129
0.392,0.25197
0.396,0.093457
0.4,0.42023
0.404,0.36169
0.408,0.90452
0.412,0.20441
0.416,0.23947
0.42,0.23632
0.424,0.29708
0.428,0.14435
0.432,0.085491
0.436,0.60077
0.44,0.46877
0.444,0.57774
0.448,0.25509
0.452,0.20351
0.456,0.25895
0.46,1.0536
0.464,0.29012
0.468,0.61657
0.472,0.49198
0.476,0.19908
0.48,0.48716
0.484,0.25643
0.488,0.45669
0.492,0.27468
0.496,0.13898
0.49999,0.2662
0.50399,0.073606
0.50799,0.32557
0.51199,0.65815
0.51599,0.42502
0.51999,0.18457
0.52399,0.4495
0.52799,0.31166
0.53199,0.046556
0.53599,0.24445
0.53999,0.37303
0.54399,0.28033
0.54799,0.19821
0.55199,0.11551
0.55599,0.42271
0.55999,0.14908
0.56399,0.17382
0.56799,0.36317
0.57199,0.24126
0.57599,0.17153
0.57999,0.21397
0.58399,0.19723
0.58799,0.27026
0.59199,0.10895
0.59599,0.32203
0.59999,0.28152
0.60399,0.015232
0.60799,0.10362
0.61199,0.30117
0.61599,0.17748
0.61999,0.3079
0.62399,0.18834
0.62799,0.27128
0.63199,0.29267
0.63599,0.41252
0.63999,0.21051
0.64399,0.12438
0.64799,0.20318
0.65199,0.16889
0.65599,0.19153
0.65999,0.1237
0.66399,0.25403
0.66799,0.2751
0.67199,0.081873
0.67599,0.26046
0.67999,0.26576
0.68399,0.53367
0.68799,0.38097
0.69199,0.17585
0.69599,0.33686
0.69999,0.38052
0.70399,0.46588
0.70799,0.1731
0.71199,0.19883
0.71599,0.46267
0.71999,0.10836
0.72399,0.32665
0.72799,0.035913
0.73199,0.22402
0.73599,0.17997
0.73999,0.20151
0.74399,0.29708
0.74799,0.16793
0.75199,0.22887
0.75599,0.17399
0.75999,0.31917
0.76399,0.073235
0.76799,0.14998
0.77199,0.28227
0.77599,0.14998
0.77999,0.11235
0.78399,0.095745
0.78799,0.050493
0.79199,0.11581
0.79599,0.17697
0.79999,0.14951
0.80399,0.055956
0.80799,0.10785
0.81199,0.075475
0.81599,0.07075
0.81999,0.27029
0.82399,0.23702
0.82799,0.098823
0.83199,0.091196
0.83599,0.12424
0.83999,0.065367
0.84399,0.075257
0.84799,0.076434
0.85199,0.13178
0.85599,0.069154
0.85999,0.012898
0.86399,0.059629
0.86799,0.15876
0.87199,0.0088968
0.87599,0.015789
0.87999,0.03512
0.88399,0.013331
0.88799,0.060435
0.89199,0.082587
0.89599,0.03157
0.89999,0.033243
0.90399,0.076976
0.90799,0.083229
0.91199,0.11975
0.91599,0.020199
0.91999,0.24607
0.92399,0.027563
0.92799,0.07604
0.93199,0.050615
0.93599,0.15258
0.93999,0.21829
0.94399,0.079872
0.94799,0.075355
0.95199,0.089475
0.95599,0.17282
0.95999,0.11186
0.96399,0.098805
0.96799,0.10218
0.97199,0.27548
0.97599,0.14195
0.97999,0.18866
0.98399,0.172
0.98799,0.14231
0.99199,0.27401
0.99599,0.15623
0.99999,0.15518
